20211126-195808<DEBUG:00008290>: [PrevInitCore]:1, start tickers = 25501496771475
20211126-200057<ERROR:00008290>: GetString(868, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(869, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(869, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(869, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(869, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(870, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(870, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(870, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(870, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(871, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(871, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(871, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(871, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(872, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(872, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(872, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(872, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(873, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(873, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(873, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(873, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(874, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(874, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(874, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(874, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(875, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(875, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(875, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(875, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(876, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(876, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(876, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(876, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(877, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(877, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(877, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(877, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(878, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(878, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(878, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(878, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(879, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(879, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(879, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(879, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(880, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(880, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(880, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(880, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(881, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(881, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(881, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(881, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(882, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(882, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(882, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(882, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(883, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(883, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(883, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(883, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(884, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(884, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(884, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(884, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(885, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(885, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(885, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(885, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(886, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(886, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(886, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(886, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(887, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(887, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(887, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(887, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(888, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(888, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(888, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(888, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(889, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(889, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(889, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(889, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(890, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(890, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(890, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(890, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(891, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(891, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(891, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(891, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(892, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(892, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(892, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(892, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(893, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(893, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(893, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(893, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(894, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(894, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(894, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(894, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(895, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(895, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(895, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(895, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(896, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(896, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(896, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(896, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(897, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(897, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(897, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(897, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(898, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(898, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(898, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(898, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(899, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(899, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(899, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(899, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(900, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(900, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(900, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(900, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(901, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(901, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(901, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(901, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(902, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(902, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(902, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(902, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(903, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(903, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(903, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(903, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(904, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(904, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(904, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(904, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(905, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(905, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(905, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(905, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(906, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(906, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(906, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(906, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(907, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(907, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(907, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(907, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(908, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(908, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(908, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(908, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(909, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(909, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(909, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(909, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(910, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(910, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(910, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(910, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(911, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(911, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(911, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(911, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(912, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(912, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(912, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(912, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(913, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(913, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(913, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(913, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(914, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(914, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(914, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(914, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(915, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(915, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(915, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(915, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(916, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(916, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(916, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(916, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(917, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(917, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(917, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(917, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(918, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(918, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(918, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(918, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(919, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(919, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(919, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(919, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(920, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(920, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(920, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(920, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(921, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(921, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(921, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(921, Content) failed !
20211126-200057<ERROR:00008290>: GetInteger(922, Type) failed !
20211126-200057<ERROR:00008290>: GetInteger(922, Point_x) failed !
20211126-200057<ERROR:00008290>: GetInteger(922, Point_y) failed !
20211126-200057<ERROR:00008290>: GetString(922, Content) failed !
20211126-200102<DEBUG:00008290>: KGLOG_PROCESS_ERROR(nOffset < nSize) at line 65 in s_GoNextLine
20211126-200120<DEBUG:00008290>: KGLOG_PROCESS_ERROR(m_dwLockCode) at line 3939 in KPlayer::UnlockAction
20211126-200120<DEBUG:00008290>: Error: m_CurrentLifeMax > 0 (nBaseChange 0, nAddPChange 0, nAddVChange 0)
20211126-200124<DEBUG:00008290>: KGLOG_PROCESS_ERROR(nOffset < nSize) at line 65 in s_GoNextLine
20211126-200124<ERROR:00008290>: GetString(366, 2) failed !
20211126-200136<DEBUG:00008290>: KGLOG_PROCESS_ERROR(m_dwLockCode) at line 3939 in KPlayer::UnlockAction
20211126-200136<DEBUG:00008290>: Error: m_CurrentLifeMax > 0 (nBaseChange 0, nAddPChange 0, nAddVChange 0)
20211126-200136<ERROR:00008290>: GetInteger(868, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(868, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(868, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(868, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(869, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(869, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(869, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(869, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(870, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(870, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(870, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(870, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(871, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(871, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(871, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(871, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(872, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(872, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(872, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(872, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(873, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(873, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(873, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(873, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(874, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(874, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(874, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(874, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(875, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(875, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(875, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(875, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(876, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(876, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(876, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(876, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(877, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(877, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(877, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(877, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(878, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(878, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(878, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(878, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(879, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(879, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(879, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(879, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(880, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(880, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(880, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(880, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(881, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(881, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(881, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(881, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(882, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(882, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(882, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(882, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(883, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(883, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(883, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(883, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(884, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(884, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(884, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(884, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(885, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(885, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(885, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(885, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(886, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(886, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(886, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(886, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(887, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(887, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(887, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(887, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(888, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(888, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(888, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(888, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(889, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(889, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(889, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(889, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(890, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(890, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(890, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(890, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(891, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(891, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(891, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(891, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(892, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(892, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(892, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(892, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(893, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(893, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(893, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(893, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(894, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(894, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(894, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(894, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(895, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(895, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(895, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(895, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(896, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(896, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(896, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(896, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(897, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(897, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(897, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(897, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(898, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(898, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(898, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(898, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(899, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(899, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(899, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(899, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(900, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(900, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(900, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(900, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(901, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(901, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(901, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(901, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(902, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(902, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(902, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(902, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(903, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(903, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(903, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(903, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(904, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(904, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(904, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(904, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(905, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(905, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(905, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(905, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(906, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(906, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(906, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(906, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(907, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(907, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(907, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(907, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(908, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(908, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(908, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(908, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(909, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(909, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(909, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(909, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(910, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(910, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(910, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(910, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(911, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(911, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(911, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(911, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(912, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(912, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(912, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(912, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(913, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(913, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(913, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(913, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(914, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(914, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(914, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(914, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(915, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(915, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(915, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(915, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(916, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(916, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(916, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(916, Content) failed !
20211126-200136<ERROR:00008290>: GetInteger(917, Type) failed !
20211126-200136<ERROR:00008290>: GetInteger(917, Point_x) failed !
20211126-200136<ERROR:00008290>: GetInteger(917, Point_y) failed !
20211126-200136<ERROR:00008290>: GetString(917, Content) failed !
