Level	UpgardeExp1	Value1	UpgardeExp2	Value2	UpgardeExp3	Value3	UpgardeExp4	Value4	UpgardeExp5	Value5
344	7400000	2445000000	7400000	2445000000	740000	2445000000	7400000	2445000000	7400000	2445000000
345	7450000	2455000000	7450000	2455000000	745000	2455000000	7450000	2455000000	7450000	2455000000
346	7500000	2465000000	7500000	2465000000	750000	2465000000	7500000	2465000000	7500000	2465000000
347	7550000	2475000000	7550000	2475000000	755000	2475000000	7550000	2475000000	7550000	2475000000
348	7600000	2485000000	7600000	2485000000	760000	2485000000	7600000	2485000000	7600000	2485000000
349	7650000	2495000000	7650000	2495000000	765000	2495000000	7650000	2495000000	7650000	2495000000
350	7700000	2505000000	7700000	2505000000	770000	2505000000	7700000	2505000000	7700000	2505000000
351	7750000	2515000000	7750000	2515000000	775000	2515000000	7750000	2515000000	7750000	2515000000
352	7800000	2525000000	7800000	2525000000	780000	2525000000	7800000	2525000000	7800000	2525000000
353	7850000	2535000000	7850000	2535000000	785000	2535000000	7850000	2535000000	7850000	2535000000
354	7900000	2545000000	7900000	2545000000	790000	2545000000	7900000	2545000000	7900000	2545000000
355	7950000	2555000000	7950000	2555000000	795000	2555000000	7950000	2555000000	7950000	2555000000
356	8000000	2565000000	8000000	2565000000	800000	2565000000	8000000	2565000000	8000000	2565000000
357	8050000	2575000000	8050000	2575000000	805000	2575000000	8050000	2575000000	8050000	2575000000
358	8100000	2585000000	8100000	2585000000	810000	2585000000	8100000	2585000000	8100000	2585000000
359	8150000	2595000000	8150000	2595000000	815000	2595000000	8150000	2595000000	8150000	2595000000
360	8200000	2605000000	8200000	2605000000	820000	2605000000	8200000	2605000000	8200000	2605000000
361	8250000	2615000000	8250000	2615000000	825000	2615000000	8250000	2615000000	8250000	2615000000
362	8300000	2625000000	8300000	2625000000	830000	2625000000	8300000	2625000000	8300000	2625000000
363	8350000	2635000000	8350000	2635000000	835000	2635000000	8350000	2635000000	8350000	2635000000
364	8400000	2645000000	8400000	2645000000	840000	2645000000	8400000	2645000000	8400000	2645000000
365	8450000	2655000000	8450000	2655000000	845000	2655000000	8450000	2655000000	8450000	2655000000
366	8500000	2665000000	8500000	2665000000	850000	2665000000	8500000	2665000000	8500000	2665000000
367	8550000	2675000000	8550000	2675000000	855000	2675000000	8550000	2675000000	8550000	2675000000
368	8600000	2685000000	8600000	2685000000	860000	2685000000	8600000	2685000000	8600000	2685000000
369	8650000	2695000000	8650000	2695000000	865000	2695000000	8650000	2695000000	8650000	2695000000
370	8700000	2705000000	8700000	2705000000	870000	2705000000	8700000	2705000000	8700000	2705000000
371	8750000	2715000000	8750000	2715000000	875000	2715000000	8750000	2715000000	8750000	2715000000
372	8800000	2725000000	8800000	2725000000	880000	2725000000	8800000	2725000000	8800000	2725000000
373	8850000	2735000000	8850000	2735000000	885000	2735000000	8850000	2735000000	8850000	2735000000
374	8900000	2745000000	8900000	2745000000	890000	2745000000	8900000	2745000000	8900000	2745000000
375	8950000	2755000000	8950000	2755000000	895000	2755000000	8950000	2755000000	8950000	2755000000
376	9000000	2765000000	9000000	2765000000	900000	2765000000	9000000	2765000000	9000000	2765000000
377	9050000	2775000000	9050000	2775000000	905000	2775000000	9050000	2775000000	9050000	2775000000
378	9100000	2785000000	9100000	2785000000	910000	2785000000	9100000	2785000000	9100000	2785000000
379	9150000	2795000000	9150000	2795000000	915000	2795000000	9150000	2795000000	9150000	2795000000
380	9200000	2805000000	9200000	2805000000	920000	2805000000	9200000	2805000000	9200000	2805000000
381	9250000	2815000000	9250000	2815000000	925000	2815000000	9250000	2815000000	9250000	2815000000
382	9300000	2825000000	9300000	2825000000	930000	2825000000	9300000	2825000000	9300000	2825000000
383	9350000	2835000000	9350000	2835000000	935000	2835000000	9350000	2835000000	9350000	2835000000
384	9400000	2845000000	9400000	2845000000	940000	2845000000	9400000	2845000000	9400000	2845000000
385	9450000	2855000000	9450000	2855000000	945000	2855000000	9450000	2855000000	9450000	2855000000
386	9500000	2865000000	9500000	2865000000	950000	2865000000	9500000	2865000000	9500000	2865000000
387	9550000	2875000000	9550000	2875000000	955000	2875000000	9550000	2875000000	9550000	2875000000
388	9600000	2885000000	9600000	2885000000	960000	2885000000	9600000	2885000000	9600000	2885000000
389	9650000	2895000000	9650000	2895000000	965000	2895000000	9650000	2895000000	9650000	2895000000
390	9700000	2905000000	9700000	2905000000	970000	2905000000	9700000	2905000000	9700000	2905000000
391	9750000	2915000000	9750000	2915000000	975000	2915000000	9750000	2915000000	9750000	2915000000
392	9800000	2925000000	9800000	2925000000	980000	2925000000	9800000	2925000000	9800000	2925000000
393	9850000	2935000000	9850000	2935000000	985000	2935000000	9850000	2935000000	9850000	2935000000
394	9900000	2945000000	9900000	2945000000	990000	2945000000	9900000	2945000000	9900000	2945000000
395	9950000	2955000000	9950000	2955000000	995000	2955000000	9950000	2955000000	9950000	2955000000
396	10000000	2965000000	10000000	2965000000	1000000	2965000000	10000000	2965000000	10000000	2965000000
397	10050000	2975000000	10050000	2975000000	1005000	2975000000	10050000	2975000000	10050000	2975000000
398	10100000	2985000000	10100000	2985000000	1010000	2985000000	10100000	2985000000	10100000	2985000000
399	10150000	2995000000	10150000	2995000000	1015000	2995000000	10150000	2995000000	10150000	2995000000
400	10200000	3005000000	10200000	3005000000	1020000	3005000000	10200000	3005000000	10200000	3005000000
